Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year
Ethiopia,2020-01-01,21st,94.59577634557802,7.8999999999999995,8.9,9.0,6.1000000000000005,6.2,6.3,8.5,8.295776345578005,7.8999999999999995,9.1,8.799999999999999,7.6000000000000005,0.395776345578005
Myanmar,2020-01-01,22nd,94.0,8.799999999999999,8.0,9.8,5.0,7.0,6.800000000000001,8.0,8.4,9.4,6.3,9.1,7.4,-0.3000000000000007
Guinea Bissau,2020-01-01,23rd,92.90207550854626,8.0,9.6,4.6000000000000005,7.4,9.444563996884632,7.2,8.6,8.6,6.9,8.425046503230945,6.4324650084306905,7.7,-2.497924491453733
Uganda,2020-01-01,24th,92.7703684743757,7.2,8.9,8.0,6.0,6.75027639895046,7.0,8.299999999999999,7.3,7.7,9.220092075425237,8.799999999999999,7.6,-2.529631525624305
Pakistan,2020-01-01,25th,92.07809303255931,8.2,9.0,9.1,7.0780930325593046,5.6000000000000005,6.5,7.6000000000000005,7.7,7.1000000000000005,7.8999999999999995,7.8,8.5,-2.1219069674406974
Congo Republic,2020-01-01,25th,92.06819972980338,7.274583094147724,6.7,8.1,7.813483847210408,8.391421783959427,7.1000000000000005,9.082993078230825,8.6,8.1,8.005717926254988,6.7,6.2,-0.4318002701966286
Mozambique,2020-01-01,27th,91.69371296150742,6.849035223109384,7.1,5.3,8.302586287881116,9.492917357087364,7.4,7.3,9.373286883147546,5.3,9.8,7.6,7.87588721028202,3.09371296150743
Venezuela,2020-01-01,28th,91.15759122974585,7.244252687927739,9.152000000000001,7.3,8.7,6.6000000000000005,6.350284251023837,9.311054290794257,8.4,9.0,6.5,6.6,6.0,1.8575912297458315
Kenya,2020-01-01,29th,90.31586992597771,7.6603465673296975,8.6,8.299999999999999,6.529169236421345,7.326354122226658,6.9,7.8999999999999995,7.7,6.5,8.299999999999999,7.4,7.2,-3.2841300740222996
North Korea,2020-01-01,30th,90.21129784524969,8.3,8.5,5.5,8.6,7.2,4.1000000000000005,9.911297845249694,8.299999999999999,9.4,6.8,4.1000000000000005,9.5,-2.4887021547503076
Liberia,2020-01-01,31st,90.04390059160053,6.914197977500817,8.3,4.9,8.254325069340153,7.5,7.2,7.1,9.0,6.2,8.475377544759555,7.8,8.399999999999999,-0.15609940839947445
Cote d'Ivoire,2020-01-01,32nd,89.72267369142226,7.1000000000000005,9.1,7.6,6.4,7.5,6.7,7.0,8.07352221875831,7.0,8.24915147266397,6.9,8.1,-2.2773263085777202
Mauritania,2020-01-01,33rd,88.74246859603146,6.6,8.8,7.3,6.8,5.9,6.6000000000000005,8.0,8.390647077647277,7.2,8.451821518384193,7.6,7.1000000000000005,-1.2575314039685308
Angola,2020-01-01,34th,87.32003902658735,7.08223650477891,7.2,7.8,6.8999999999999995,9.0,6.3,8.0497760072349,8.708896953443105,6.4,8.818717206717086,6.2,4.860412354413354,-0.47996097341264576
Rwanda,2020-01-01,35th,86.02952230051775,6.055203794650836,8.0,9.899951585980176,5.908512802094449,7.789591792332359,6.8,6.861576396852225,6.5,6.3,7.514685928607721,7.8,6.6000000000000005,-1.4704776994822328
Egypt,2020-01-01,35th,86.00613825029183,7.8999999999999995,9.1,8.6,7.6000000000000005,5.4,5.281330356633816,8.6,4.230977023349143,9.7,6.1938308703088705,6.4,7.0,-2.29386174970817
Burkina Faso,2020-01-01,37th,85.92852306050814,8.7,7.8,4.4,6.728523060508139,7.3,7.1000000000000005,6.2,8.4,5.699999999999999,8.6,7.0,8.0,2.1285230605081398
Togo,2020-01-01,38th,85.84143116430509,6.7,7.6,5.7,6.7,8.445842885101769,7.2,8.5,8.2,6.9,7.530351146418348,6.6000000000000005,5.765237132784981,-1.5585688356949028
Bangladesh,2020-01-01,39th,85.69999999999999,7.3,9.3,8.3,5.8,6.0,7.3,7.3,7.2,7.0,7.1,7.6,5.5,-1.9999999999999973
Lebanon,2020-01-01,40th,84.72043333917239,7.8,9.6,8.22043333917241,7.0,4.9,5.8999999999999995,7.4,4.8,6.9,4.7,8.7,8.799999999999999,-0.17956666082758943
Zambia,2020-01-01,41st,84.47412891194057,4.8,5.9,5.0,7.802659241308777,9.421156954560534,7.0,7.8,7.721490249680855,7.1000000000000005,9.4288224663904,5.8,6.7,-1.1258710880594327
Sierra Leone,2020-01-01,42nd,84.35580251344358,4.1000000000000005,7.8,5.9,8.299999999999999,8.0,7.7,6.0,8.5,5.155802513443588,8.8,7.1000000000000005,7.0,-2.444197486556413
Malawi,2020-01-01,43rd,84.01636088313059,5.1,8.1,5.0,7.7,8.14192263787756,7.1000000000000005,6.6,7.874438245253028,5.6000000000000005,9.4,5.7,7.7,0.6163608831305893
Iran,2020-01-01,44th,83.3866086520676,7.2,9.6,9.59742249523,7.2,5.0,5.6000000000000005,9.2,3.689186156837593,9.200000000000001,4.5,5.6000000000000005,7.0,0.3866086520675922
